Date,Produit,Prix,Demande,Saison
2025-05-16,Haricot,2516,1,1
2025-05-17,Haricot,2751,2,1
2025-05-18,Haricot,2737,2,1
2025-05-19,Haricot,2971,3,1
2025-05-20,Haricot,2841,3,1
2025-05-21,Haricot,2627,2,1
2025-05-22,Haricot,2490,1,1
2025-05-23,Haricot,2996,3,1
2025-05-24,Haricot,2953,3,1
2025-05-25,Haricot,2872,3,1
2025-05-26,Haricot,2469,1,1
2025-05-27,Haricot,2514,1,1
2025-05-28,Haricot,2416,1,1
2025-05-29,Haricot,2719,2,1
2025-05-30,Haricot,2689,2,1
2025-05-31,Haricot,2913,3,1
2025-06-01,Haricot,2567,3,0
2025-06-02,Haricot,2515,3,0
2025-06-03,Haricot,2619,3,0
2025-06-04,Haricot,2444,2,0
2025-06-05,Haricot,2269,1,0
2025-06-06,Haricot,2353,2,0
2025-06-07,Haricot,2155,1,0
2025-06-08,Haricot,2359,2,0
2025-06-09,Haricot,2473,2,0
2025-06-10,Haricot,2549,3,0
2025-06-11,Haricot,2587,3,0
2025-06-12,Haricot,2678,3,0
2025-06-13,Haricot,2159,1,0
2025-06-14,Haricot,2266,1,0
2025-06-15,Haricot,2588,3,0
2025-06-16,Haricot,2160,1,0
2025-06-17,Haricot,2454,2,0
2025-06-18,Haricot,2513,3,0
2025-06-19,Haricot,2247,1,0
2025-06-20,Haricot,2519,3,0
2025-06-21,Haricot,2271,1,0
2025-06-22,Haricot,2271,1,0
2025-06-23,Haricot,2514,3,0
2025-06-24,Haricot,2551,3,0
2025-06-25,Haricot,2492,2,0
2025-06-26,Haricot,2489,2,0
2025-06-27,Haricot,2341,2,0
2025-06-28,Haricot,2492,2,0
2025-06-29,Haricot,2312,2,0
2025-06-30,Haricot,2225,1,0
2025-07-01,Haricot,2399,2,0
2025-07-02,Haricot,2681,3,0
2025-07-03,Haricot,2309,2,0
2025-07-04,Haricot,2449,2,0
2025-07-05,Haricot,2345,2,0
2025-07-06,Haricot,2635,3,0
2025-07-07,Haricot,2490,2,0
2025-07-08,Haricot,2124,1,0
2025-07-09,Haricot,2328,2,0
2025-07-10,Haricot,2456,2,0
2025-07-11,Haricot,2283,1,0
2025-07-12,Haricot,2400,2,0
2025-07-13,Haricot,2490,2,0
2025-07-14,Haricot,2545,3,0
2025-07-15,Haricot,2569,3,0
2025-07-16,Haricot,2473,2,0
2025-07-17,Haricot,2513,3,0
2025-07-18,Haricot,2650,3,0
2025-07-19,Haricot,2112,1,0
2025-07-20,Haricot,2563,3,0
2025-07-21,Haricot,2204,1,0
2025-07-22,Haricot,2331,2,0
2025-07-23,Haricot,2680,3,0
2025-07-24,Haricot,2241,1,0
2025-07-25,Haricot,2430,2,0
2025-07-26,Haricot,2565,3,0
2025-07-27,Haricot,2140,1,0
2025-07-28,Haricot,2507,3,0
2025-07-29,Haricot,2268,1,0
2025-07-30,Haricot,2232,1,0
2025-07-31,Haricot,2449,2,0
2025-08-01,Haricot,2536,3,0
2025-08-02,Haricot,2246,1,0
2025-08-03,Haricot,2266,1,0
2025-08-04,Haricot,2521,3,0
2025-08-05,Haricot,2562,3,0
2025-08-06,Haricot,2600,3,0
2025-08-07,Haricot,2529,3,0
2025-08-08,Haricot,2193,1,0
2025-08-09,Haricot,2172,1,0
2025-08-10,Haricot,2651,3,0
2025-08-11,Haricot,2330,2,0
2025-08-12,Haricot,2556,3,0
2025-08-13,Haricot,2116,1,0
2025-08-14,Haricot,2128,1,0
2025-08-15,Haricot,2685,3,0
2025-08-16,Haricot,2142,1,0
2025-08-17,Haricot,2666,3,0
2025-08-18,Haricot,2392,2,0
2025-08-19,Haricot,2625,3,0
2025-08-20,Haricot,2229,1,0
2025-08-21,Haricot,2616,3,0
2025-08-22,Haricot,2302,2,0
2025-08-23,Haricot,2135,1,0
2025-08-24,Haricot,2589,3,0
2025-08-25,Haricot,2100,1,0
2025-08-26,Haricot,2301,2,0
2025-08-27,Haricot,2207,1,0
2025-08-28,Haricot,2306,2,0
2025-08-29,Haricot,2539,3,0
2025-08-30,Haricot,2694,3,0
2025-08-31,Haricot,2353,2,0
2025-09-01,Haricot,2204,1,0
2025-09-02,Haricot,2343,2,0
2025-09-03,Haricot,2575,3,0
2025-09-04,Haricot,2349,2,0
2025-09-05,Haricot,2298,1,0
2025-09-06,Haricot,2530,3,0
2025-09-07,Haricot,2471,2,0
2025-09-08,Haricot,2675,3,0
2025-09-09,Haricot,2688,3,0
2025-09-10,Haricot,2429,2,0
2025-09-11,Haricot,2153,1,0
2025-09-12,Haricot,2139,1,0
2025-09-13,Haricot,2436,2,0
2025-09-14,Haricot,2324,2,0
2025-09-15,Haricot,2296,1,0
2025-09-16,Haricot,2285,1,0
2025-09-17,Haricot,2308,2,0
2025-09-18,Haricot,2335,2,0
2025-09-19,Haricot,2255,1,0
2025-09-20,Haricot,2660,3,0
2025-09-21,Haricot,2531,3,0
2025-09-22,Haricot,2445,2,0
2025-09-23,Haricot,2368,2,0
2025-09-24,Haricot,2411,2,0
2025-09-25,Haricot,2617,3,0
2025-09-26,Haricot,2455,2,0
2025-09-27,Haricot,2379,2,0
2025-09-28,Haricot,2229,1,0
2025-09-29,Haricot,2237,1,0
2025-09-30,Haricot,2124,1,0
2025-10-01,Haricot,2638,2,1
2025-10-02,Haricot,2764,2,1
2025-10-03,Haricot,2894,3,1
2025-10-04,Haricot,2970,3,1
2025-10-05,Haricot,2979,3,1
2025-10-06,Haricot,2978,3,1
2025-10-07,Haricot,2848,3,1
2025-10-08,Haricot,2921,3,1
2025-10-09,Haricot,2728,2,1
2025-10-10,Haricot,2726,2,1
2025-10-11,Haricot,2847,3,1
2025-10-12,Haricot,2864,3,1
2025-10-13,Haricot,2631,2,1
2025-10-14,Haricot,2646,2,1
2025-10-15,Haricot,2706,2,1
2025-10-16,Haricot,2766,2,1
2025-10-17,Haricot,2812,3,1
2025-10-18,Haricot,2509,1,1
2025-10-19,Haricot,2828,3,1
2025-10-20,Haricot,2994,3,1
2025-10-21,Haricot,2636,2,1
2025-10-22,Haricot,2995,3,1
2025-10-23,Haricot,2991,3,1
2025-10-24,Haricot,2754,2,1
2025-10-25,Haricot,2939,3,1
2025-10-26,Haricot,2987,3,1
2025-10-27,Haricot,2798,2,1
2025-10-28,Haricot,2972,3,1
2025-10-29,Haricot,2574,1,1
2025-10-30,Haricot,2500,1,1
2025-10-31,Haricot,2509,1,1
2025-11-01,Haricot,2942,3,1
2025-11-02,Haricot,2902,3,1
2025-11-03,Haricot,2919,3,1
2025-11-04,Haricot,2922,3,1
2025-11-05,Haricot,2403,1,1
2025-11-06,Haricot,2674,2,1
2025-11-07,Haricot,2523,1,1
2025-11-08,Haricot,2504,1,1
2025-11-09,Haricot,2789,2,1
2025-11-10,Haricot,2668,2,1
2025-11-11,Haricot,2756,2,1
2025-11-12,Haricot,2707,2,1
2025-11-13,Haricot,2594,1,1
2025-11-14,Haricot,2684,2,1
2025-11-15,Haricot,2788,2,1
2025-11-16,Haricot,2624,2,1
2025-11-17,Haricot,2614,2,1
2025-11-18,Haricot,2798,2,1
2025-11-19,Haricot,2404,1,1
2025-11-20,Haricot,2759,2,1
2025-11-21,Haricot,2554,1,1
2025-11-22,Haricot,2608,2,1
2025-11-23,Haricot,2824,3,1
2025-11-24,Haricot,2523,1,1
2025-11-25,Haricot,2544,1,1
2025-11-26,Haricot,2577,1,1
2025-11-27,Haricot,2410,1,1
2025-11-28,Haricot,2749,2,1
2025-11-29,Haricot,2729,2,1
2025-11-30,Haricot,2777,2,1
2025-12-01,Haricot,2741,2,1
2025-12-02,Haricot,2759,2,1
2025-12-03,Haricot,2652,2,1
2025-12-04,Haricot,2787,2,1
2025-12-05,Haricot,3000,3,1
2025-12-06,Haricot,2706,2,1
2025-12-07,Haricot,2882,3,1
2025-12-08,Haricot,2547,1,1
2025-12-09,Haricot,2907,3,1
2025-12-10,Haricot,2571,1,1
2025-12-11,Haricot,2764,2,1
2025-12-12,Haricot,2828,3,1
2025-12-13,Haricot,2499,1,1
2025-12-14,Haricot,2461,1,1
2025-12-15,Haricot,2690,2,1
2025-12-16,Haricot,2644,2,1
2025-12-17,Haricot,2726,2,1
2025-12-18,Haricot,2984,3,1
2025-12-19,Haricot,2751,2,1
2025-12-20,Haricot,2709,2,1
2025-12-21,Haricot,2510,1,1
2025-12-22,Haricot,2654,2,1
2025-12-23,Haricot,2408,1,1
2025-12-24,Haricot,2977,3,1
2025-12-25,Haricot,2830,3,1
2025-12-26,Haricot,2687,2,1
2025-12-27,Haricot,2635,2,1
2025-12-28,Haricot,2411,1,1
2025-12-29,Haricot,2838,3,1
2025-12-30,Haricot,2935,3,1
2025-12-31,Haricot,2617,2,1
2026-01-01,Haricot,2447,1,1
2026-01-02,Haricot,2512,1,1
2026-01-03,Haricot,2982,3,1
2026-01-04,Haricot,2768,2,1
2026-01-05,Haricot,2973,3,1
2026-01-06,Haricot,2576,1,1
2026-01-07,Haricot,2785,2,1
2026-01-08,Haricot,2526,1,1
2026-01-09,Haricot,2441,1,1
2026-01-10,Haricot,2404,1,1
2026-01-11,Haricot,2489,1,1
2026-01-12,Haricot,2657,2,1
2026-01-13,Haricot,2756,2,1
2026-01-14,Haricot,2504,1,1
2026-01-15,Haricot,2987,3,1
2026-01-16,Haricot,2843,3,1
2026-01-17,Haricot,2498,1,1
2026-01-18,Haricot,2542,1,1
2026-01-19,Haricot,2643,2,1
2026-01-20,Haricot,2803,3,1
2026-01-21,Haricot,2911,3,1
2026-01-22,Haricot,2806,3,1
2026-01-23,Haricot,2781,2,1
2026-01-24,Haricot,2797,2,1
2026-01-25,Haricot,2473,1,1
2026-01-26,Haricot,3000,3,1
2026-01-27,Haricot,2460,1,1
2026-01-28,Haricot,2743,2,1
2026-01-29,Haricot,2566,1,1
2026-01-30,Haricot,2442,1,1
2026-01-31,Haricot,2468,1,1
2026-02-01,Haricot,2585,1,1
2026-02-02,Haricot,2846,3,1
2026-02-03,Haricot,2799,2,1
2026-02-04,Haricot,2830,3,1
2025-01-01,Maïs,2374,3,1
2025-01-02,Maïs,2036,1,1
2025-01-03,Maïs,2127,2,1
2025-01-04,Maïs,2408,3,1
2025-01-05,Maïs,2407,3,1
2025-01-06,Maïs,2365,3,1
2025-01-07,Maïs,2066,1,1
2025-01-08,Maïs,1970,1,1
2025-01-09,Maïs,2405,3,1
2025-01-10,Maïs,2487,3,1
2025-01-11,Maïs,2408,3,1
2025-01-12,Maïs,2240,2,1
2025-01-13,Maïs,2138,2,1
2025-01-14,Maïs,2124,2,1
2025-01-15,Maïs,2034,1,1
2025-01-16,Maïs,2075,1,1
2025-01-17,Maïs,2247,2,1
2025-01-18,Maïs,1954,1,1
2025-01-19,Maïs,2105,2,1
2025-01-20,Maïs,2011,1,1
2025-01-21,Maïs,2014,1,1
2025-01-22,Maïs,2098,1,1
2025-01-23,Maïs,2072,1,1
2025-01-24,Maïs,2384,3,1
2025-01-25,Maïs,2354,3,1
2025-01-26,Maïs,2163,2,1
2025-01-27,Maïs,2382,3,1
2025-01-28,Maïs,2071,1,1
2025-01-29,Maïs,2339,3,1
2025-01-30,Maïs,2246,2,1
2025-01-31,Maïs,2147,2,1
2025-02-01,Maïs,1999,1,1
2025-02-02,Maïs,2356,3,1
2025-02-03,Maïs,2390,3,1
2025-02-04,Maïs,2147,2,1
2025-02-05,Maïs,2430,3,1
2025-02-06,Maïs,2087,1,1
2025-02-07,Maïs,2029,1,1
2025-02-08,Maïs,2290,2,1
2025-02-09,Maïs,2074,1,1
2025-02-10,Maïs,2439,3,1
2025-02-11,Maïs,2031,1,1
2025-02-12,Maïs,2337,3,1
2025-02-13,Maïs,2435,3,1
2025-02-14,Maïs,2299,2,1
2025-02-15,Maïs,2344,3,1
2025-02-16,Maïs,2171,2,1
2025-02-17,Maïs,2298,2,1
2025-02-18,Maïs,2004,1,1
2025-02-19,Maïs,2169,2,1
2025-02-20,Maïs,2127,2,1
2025-02-21,Maïs,2436,3,1
2025-02-22,Maïs,2069,1,1
2025-02-23,Maïs,2252,2,1
2025-02-24,Maïs,2146,2,1
2025-02-25,Maïs,2058,1,1
2025-02-26,Maïs,1976,1,1
2025-02-27,Maïs,2481,3,1
2025-02-28,Maïs,2284,2,1
2025-03-01,Maïs,2137,2,1
2025-03-02,Maïs,2223,2,1
2025-03-03,Maïs,2329,3,1
2025-03-04,Maïs,2163,2,1
2025-03-05,Maïs,2021,1,1
2025-03-06,Maïs,2300,3,1
2025-03-07,Maïs,2116,2,1
2025-03-08,Maïs,2411,3,1
2025-03-09,Maïs,2044,1,1
2025-03-10,Maïs,2045,1,1
2025-03-11,Maïs,2128,2,1
2025-03-12,Maïs,2063,1,1
2025-03-13,Maïs,2173,2,1
2025-03-14,Maïs,2197,2,1
2025-03-15,Maïs,2225,2,1
2025-03-16,Maïs,2140,2,1
2025-03-17,Maïs,1926,1,1
2025-03-18,Maïs,2418,3,1
2025-03-19,Maïs,2453,3,1
2025-03-20,Maïs,2044,1,1
2025-03-21,Maïs,2405,3,1
2025-03-22,Maïs,2319,3,1
2025-03-23,Maïs,2397,3,1
2025-03-24,Maïs,2384,3,1
2025-03-25,Maïs,2432,3,1
2025-03-26,Maïs,1921,1,1
2025-03-27,Maïs,1912,1,1
2025-03-28,Maïs,1922,1,1
2025-03-29,Maïs,2112,2,1
2025-03-30,Maïs,2190,2,1
2025-03-31,Maïs,2046,1,1
2025-04-01,Maïs,2039,1,1
2025-04-02,Maïs,2064,1,1
2025-04-03,Maïs,2188,2,1
2025-04-04,Maïs,2456,3,1
2025-04-05,Maïs,1937,1,1
2025-04-06,Maïs,2164,2,1
2025-04-07,Maïs,2164,2,1
2025-04-08,Maïs,2142,2,1
2025-04-09,Maïs,2232,2,1
2025-04-10,Maïs,1971,1,1
2025-04-11,Maïs,2300,2,1
2025-04-12,Maïs,2349,3,1
2025-04-13,Maïs,1994,1,1
2025-04-14,Maïs,2412,3,1
2025-04-15,Maïs,2355,3,1
2025-04-16,Maïs,1991,1,1
2025-04-17,Maïs,1960,1,1
2025-04-18,Maïs,2100,2,1
2025-04-19,Maïs,1939,1,1
2025-04-20,Maïs,1981,1,1
2025-04-21,Maïs,2437,3,1
2025-04-22,Maïs,2090,1,1
2025-04-23,Maïs,2064,1,1
2025-04-24,Maïs,2067,1,1
2025-04-25,Maïs,2299,2,1
2025-04-26,Maïs,1924,1,1
2025-04-27,Maïs,2231,2,1
2025-04-28,Maïs,2283,2,1
2025-04-29,Maïs,2146,2,1
2025-04-30,Maïs,2375,3,1
2025-05-01,Maïs,1903,1,1
2025-05-02,Maïs,1905,1,1
2025-05-03,Maïs,2262,2,1
2025-05-04,Maïs,2260,2,1
2025-05-05,Maïs,1925,1,1
2025-05-06,Maïs,2095,1,1
2025-05-07,Maïs,2481,3,1
2025-05-08,Maïs,1905,1,1
2025-05-09,Maïs,2071,1,1
2025-05-10,Maïs,1903,1,1
2025-05-11,Maïs,2028,1,1
2025-05-12,Maïs,2263,2,1
2025-05-13,Maïs,2443,3,1
2025-05-14,Maïs,2077,1,1
2025-05-15,Maïs,2445,3,1
2025-05-16,Maïs,2013,1,1
2025-05-17,Maïs,2381,3,1
2025-05-18,Maïs,2395,3,1
2025-05-19,Maïs,2371,3,1
2025-05-20,Maïs,1904,1,1
2025-05-21,Maïs,2008,1,1
2025-05-22,Maïs,1963,1,1
2025-05-23,Maïs,2172,2,1
2025-05-24,Maïs,2167,2,1
2025-05-25,Maïs,2180,2,1
2025-05-26,Maïs,2042,1,1
2025-05-27,Maïs,2266,2,1
2025-05-28,Maïs,2132,2,1
2025-05-29,Maïs,2468,3,1
2025-05-30,Maïs,2073,1,1
2025-05-31,Maïs,1975,1,1
2025-06-01,Maïs,1791,1,0
2025-06-02,Maïs,2030,3,0
2025-06-03,Maïs,2078,3,0
2025-06-04,Maïs,1602,1,0
2025-06-05,Maïs,1654,1,0
2025-06-06,Maïs,1748,1,0
2025-06-07,Maïs,1674,1,0
2025-06-08,Maïs,1657,1,0
2025-06-09,Maïs,1657,1,0
2025-06-10,Maïs,2005,3,0
2025-06-11,Maïs,1985,2,0
2025-06-12,Maïs,1843,2,0
2025-06-13,Maïs,2016,3,0
2025-06-14,Maïs,2007,3,0
2025-06-15,Maïs,2183,3,0
2025-06-16,Maïs,1956,2,0
2025-06-17,Maïs,1996,2,0
2025-06-18,Maïs,1774,1,0
2025-06-19,Maïs,1736,1,0
2025-06-20,Maïs,1639,1,0
2025-06-21,Maïs,1893,2,0
2025-06-22,Maïs,1739,1,0
2025-06-23,Maïs,1631,1,0
2025-06-24,Maïs,1721,1,0
2025-06-25,Maïs,1977,2,0
2025-06-26,Maïs,2055,3,0
2025-06-27,Maïs,2018,3,0
2025-06-28,Maïs,1903,2,0
2025-06-29,Maïs,1738,1,0
2025-06-30,Maïs,1807,2,0
2025-07-01,Maïs,1993,2,0
2025-07-02,Maïs,1607,1,0
2025-07-03,Maïs,2158,3,0
2025-07-04,Maïs,2152,3,0
2025-07-05,Maïs,1714,1,0
2025-07-06,Maïs,2126,3,0
2025-07-07,Maïs,1824,2,0
2025-07-08,Maïs,1672,1,0
2025-07-09,Maïs,2158,3,0
2025-07-10,Maïs,2106,3,0
2025-07-11,Maïs,2109,3,0
2025-07-12,Maïs,1788,1,0
2025-07-13,Maïs,1664,1,0
2025-07-14,Maïs,1884,2,0
2025-07-15,Maïs,2082,3,0
2025-07-16,Maïs,1968,2,0
2025-07-17,Maïs,1817,2,0
2025-07-18,Maïs,1936,2,0
2025-07-19,Maïs,1713,1,0
2025-07-20,Maïs,1730,1,0
2025-07-21,Maïs,2024,3,0
2025-07-22,Maïs,2151,3,0
2025-07-23,Maïs,2042,3,0
2025-07-24,Maïs,2163,3,0
2025-07-25,Maïs,1634,1,0
2025-07-26,Maïs,1883,2,0
2025-07-27,Maïs,1815,2,0
2025-07-28,Maïs,1779,1,0
2025-07-29,Maïs,1967,2,0
2025-07-30,Maïs,1714,1,0
2025-07-31,Maïs,2145,3,0
2025-08-01,Maïs,2069,3,0
2025-08-02,Maïs,1667,1,0
2025-08-03,Maïs,1849,2,0
2025-08-04,Maïs,1805,2,0
2025-08-05,Maïs,1882,2,0
2025-08-06,Maïs,2115,3,0
2025-08-07,Maïs,1931,2,0
2025-08-08,Maïs,2168,3,0
2025-08-09,Maïs,1733,1,0
2025-08-10,Maïs,1782,1,0
2025-08-11,Maïs,1835,2,0
2025-08-12,Maïs,1943,2,0
2025-08-13,Maïs,1924,2,0
2025-08-14,Maïs,1817,2,0
2025-08-15,Maïs,2172,3,0
2025-08-16,Maïs,2120,3,0
2025-08-17,Maïs,1829,2,0
2025-08-18,Maïs,1778,1,0
2025-08-19,Maïs,1833,2,0
2025-08-20,Maïs,1776,1,0
2025-08-21,Maïs,1901,2,0
2025-08-22,Maïs,1782,1,0
2025-08-23,Maïs,1921,2,0
2025-08-24,Maïs,1917,2,0
2025-08-25,Maïs,1910,2,0
2025-08-26,Maïs,2006,3,0
2025-08-27,Maïs,2186,3,0
2025-08-28,Maïs,1957,2,0
2025-08-29,Maïs,1698,1,0
2025-08-30,Maïs,2084,3,0
2025-08-31,Maïs,1772,1,0
2025-09-01,Maïs,1697,1,0
2025-09-02,Maïs,1907,2,0
2025-09-03,Maïs,2074,3,0
2025-09-04,Maïs,2039,3,0
2025-09-05,Maïs,1964,2,0
2025-09-06,Maïs,2042,3,0
2025-09-07,Maïs,1726,1,0
2025-09-08,Maïs,1656,1,0
2025-09-09,Maïs,2139,3,0
2025-09-10,Maïs,1687,1,0
2025-09-11,Maïs,2118,3,0
2025-09-12,Maïs,2031,3,0
2025-09-13,Maïs,1847,2,0
2025-09-14,Maïs,2035,3,0
2025-09-15,Maïs,1837,2,0
2025-09-16,Maïs,1741,1,0
2025-09-17,Maïs,2138,3,0
2025-09-18,Maïs,2198,3,0
2025-09-19,Maïs,1874,2,0
2025-09-20,Maïs,1834,2,0
2025-09-21,Maïs,2026,3,0
2025-09-22,Maïs,2111,3,0
2025-09-23,Maïs,1768,1,0
2025-09-24,Maïs,1639,1,0
2025-09-25,Maïs,1774,1,0
2025-09-26,Maïs,2081,3,0
2025-09-27,Maïs,1904,2,0
2025-09-28,Maïs,1961,2,0
2025-09-29,Maïs,1849,2,0
2025-09-30,Maïs,1845,2,0
2025-10-01,Maïs,2488,3,1
2025-10-02,Maïs,2481,3,1
2025-10-03,Maïs,2424,3,1
2025-10-04,Maïs,2412,3,1
2025-10-05,Maïs,2284,2,1
2025-10-06,Maïs,2132,2,1
2025-10-07,Maïs,2187,2,1
2025-10-08,Maïs,2127,2,1
2025-10-09,Maïs,2094,1,1
2025-10-10,Maïs,2068,1,1
2025-10-11,Maïs,2493,3,1
2025-10-12,Maïs,2415,3,1
2025-10-13,Maïs,2149,2,1
2025-10-14,Maïs,2105,2,1
2025-10-15,Maïs,2341,3,1
2025-10-16,Maïs,2342,3,1
2025-10-17,Maïs,2109,2,1
2025-10-18,Maïs,2028,1,1
2025-10-19,Maïs,2292,2,1
2025-10-20,Maïs,2342,3,1
2025-10-21,Maïs,2211,2,1
2025-10-22,Maïs,2114,2,1
2025-10-23,Maïs,2213,2,1
2025-10-24,Maïs,2364,3,1
2025-10-25,Maïs,2069,1,1
2025-10-26,Maïs,2442,3,1
2025-10-27,Maïs,2160,2,1
2025-10-28,Maïs,2263,2,1
2025-10-29,Maïs,2214,2,1
2025-10-30,Maïs,2451,3,1
2025-10-31,Maïs,2144,2,1
2025-11-01,Maïs,2481,3,1
2025-11-02,Maïs,2430,3,1
2025-11-03,Maïs,2145,2,1
2025-11-04,Maïs,2454,3,1
2025-11-05,Maïs,2424,3,1
2025-11-06,Maïs,2372,3,1
2025-11-07,Maïs,2486,3,1
2025-11-08,Maïs,2231,2,1
2025-11-09,Maïs,2427,3,1
2025-11-10,Maïs,2070,1,1
2025-11-11,Maïs,2070,1,1
2025-11-12,Maïs,2452,3,1
2025-11-13,Maïs,1996,1,1
2025-11-14,Maïs,2321,3,1
2025-11-15,Maïs,2053,1,1
2025-11-16,Maïs,2056,1,1
2025-11-17,Maïs,2090,1,1
2025-11-18,Maïs,2300,2,1
2025-11-19,Maïs,1983,1,1
2025-11-20,Maïs,2458,3,1
2025-11-21,Maïs,2113,2,1
2025-11-22,Maïs,2265,2,1
2025-11-23,Maïs,2018,1,1
2025-11-24,Maïs,1906,1,1
2025-11-25,Maïs,2156,2,1
2025-11-26,Maïs,2153,2,1
2025-11-27,Maïs,2304,3,1
2025-11-28,Maïs,2299,2,1
2025-11-29,Maïs,2179,2,1
2025-11-30,Maïs,2482,3,1
